case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,avg_true_dominance_generation_bucket_k3,avg_new_dominance_generation_bucket_k3,avg_dominance_diff_generation_bucket_k3,avg_conflict_pos_bucket_k3
982,encyclopaedia,Windows Driver Frameworks,Q1067615,Apple,Microsoft,0.0743,0.4557,0.3814,P178,10,0.005197,2,1,3,1
1160,encyclopaedia,Vijayawada Junction railway station,Q7929306,Peru,India,0.2183,0.5695,0.3512,P17,60,0.001773,3,1,3,1
1169,encyclopaedia,John T. Mullock,Q6260059,mayor,bishop,0.5409,0.0,-0.5409,P39,2,0.0,1,3,1,1
1170,encyclopaedia,Allersberg,Q588957,India,Germany,0.0156,0.6625,0.6469,P17,4,0.001121,3,1,3,1
1267,encyclopaedia,Arvydas Sabonis,Q297750,football,basketball,0.15,0.7452,0.5952,P641,799,0.012095,3,1,3,1
1421,encyclopaedia,Silvio Orlando,Q677260,English,Italian,0.3425,0.3488,0.0062,P1412,53,0.015316,2,2,2,1
1539,encyclopaedia,Kannadasan,Q3519797,French,Tamil,0.2194,0.5944,0.375,P103,266,0.002124,3,1,3,1
1553,encyclopaedia,Magic Johnson,Q134183,football,basketball,0.1483,0.5879,0.4397,P641,4658,0.004879,3,1,3,1
1577,encyclopaedia,Magnus Hirschfeld,Q57592,Edmonton,Berlin,0.363,0.3783,0.0152,P937,1892,0.0,2,2,2,1
1609,encyclopaedia,Lisa Haydon,Q6558075,politician,actor,0.0,0.475,0.475,P106,268,0.000111,2,1,3,1
1896,encyclopaedia,Theobald Boehm,Q71003,Berlin,Munich,0.1821,0.5786,0.3964,P937,30,0.001763,3,1,3,1
1949,encyclopaedia,Mater Health Services,Q6786513,Chennai,Brisbane,0.1708,0.6292,0.4583,P159,11,0.0,3,1,3,1
2157,encyclopaedia,Kingdom of Bohemia,Q42585,Santiago,Prague,0.3,0.3269,0.0269,P36,1092,0.0,2,2,2,1
2165,encyclopaedia,Carsten Dahl,Q38051142,London,Copenhagen,0.9875,0.025,-0.9625,P19,0,0.010101,1,3,1,1
2235,encyclopaedia,Claudio Marchisio,Q179995,linebacker,midfielder,0.3,0.45,0.15,P413,260,1.2e-05,2,2,2,1
2296,encyclopaedia,Mistretta,Q37302227,Russian,Italian,0.1579,0.45,0.2921,P37,0,0.0,2,1,3,1
2335,encyclopaedia,Mathieu de Montmorency,Q351610,Italian,French,0.1974,0.5211,0.3237,P103,7,0.002316,3,1,3,1
2371,encyclopaedia,Eduardo Duhalde,Q294578,French,Spanish,0.2158,0.5211,0.3053,P103,110,0.000297,3,1,3,1
2403,encyclopaedia,Ken Vandermark,Q1360707,opera,jazz,0.2091,0.4159,0.2068,P136,15,8e-06,2,1,2,1
2417,encyclopaedia,Louise Lawler,Q539270,Italian,English,0.0656,0.525,0.4594,P1412,13,0.002274,3,1,3,1
2488,encyclopaedia,Cool & Dre,Q1129658,Seattle,Miami,0.4286,0.5714,0.1429,P740,143,0.0,3,2,2,1
2538,encyclopaedia,Brisbane Airport,Q45523,Thor,Brisbane,0.1712,0.5827,0.4115,P138,346,0.0,3,1,3,1
2577,encyclopaedia,Honda Civic Type R,Q748076,Microsoft,Honda,0.113,0.637,0.5241,P176,1313,0.000912,3,1,3,1
2651,encyclopaedia,Masahiko Nishimura,Q1078548,Italy,Japan,0.1212,0.4636,0.3424,P27,13,0.004017,2,1,3,1
2726,encyclopaedia,Heather Fell,Q2399313,London,Plymouth,0.7286,0.0,-0.7286,P19,10,0.0,1,3,1,1
2852,encyclopaedia,Jewish cemetery,Q846659,Buddhism,Judaism,0.2868,0.4184,0.1316,P140,49,0.003091,2,2,2,1
2897,encyclopaedia,IBM TopView,Q4891880,Square,IBM,0.3556,0.35,-0.0056,P178,59,2.7e-05,2,2,2,1
2931,encyclopaedia,Captain Nice,Q3656937,CBS,NBC,0.6438,0.075,-0.5688,P449,51,0.005969,1,3,1,1
2980,encyclopaedia,PowerShell,Q840410,Apple,Microsoft,0.1364,0.6557,0.5193,P178,454,0.005654,3,1,3,1
3013,encyclopaedia,1862 Apollo,Q144927,Victoria,Apollo,0.0833,0.5146,0.4312,P138,52,0.000281,3,1,3,1
3046,encyclopaedia,John Paul II,Q989,Dutch,Polish,0.1571,0.5524,0.3952,P103,6357,0.000912,3,1,3,1
3117,encyclopaedia,Magnus Enckell,Q967073,Paris,Stockholm,0.613,0.0239,-0.5891,P20,14,9.3e-05,1,3,1,1
3152,encyclopaedia,Charlemagne,Q19914524,Islam,Christianity,0.1062,0.5719,0.4656,P140,0,8e-06,3,1,3,1
3315,encyclopaedia,Alfonso Sastre,Q1210254,French,Spanish,0.15,0.5265,0.3765,P1412,4,0.002143,3,1,3,1
3543,encyclopaedia,Liverpool Hope University,Q1818020,Paris,Liverpool,0.2532,0.5081,0.2548,P159,46,0.002192,2,1,3,1
3583,encyclopaedia,Fernandel,Q129092,Copenhagen,Paris,0.33,0.545,0.215,P20,79,0.021051,3,2,2,2
3642,encyclopaedia,Yehoshafat Harkabi,Q2561928,Libya,Jerusalem,0.6667,0.2833,-0.3833,P20,15,0.0,2,3,1,1
3699,encyclopaedia,Edmond S. Meany,Q5338911,London,Seattle,0.875,0.0063,-0.8688,P20,3,0.000742,1,3,1,1
3718,encyclopaedia,Windows Vista,Q11230,Apple,Microsoft,0.095,0.653,0.558,P178,1281,0.006066,3,1,3,1
3740,encyclopaedia,Jean-Pierre Vernant,Q472206,economics,anthropology,0.6667,0.15,-0.5167,P101,23,0.0,1,3,1,1
3801,encyclopaedia,Yakov Sverdlov,Q298384,Italian,Russian,0.1167,0.5375,0.4208,P1412,489,0.000539,3,1,3,1
3879,encyclopaedia,Biscoe Islands,Q866276,Europe,Antarctica,0.2243,0.5657,0.3414,P30,2,0.017923,3,1,3,2
3918,encyclopaedia,The Sandy Duncan Show,Q7762247,BBC,CBS,0.7636,0.0455,-0.7182,P449,41,0.000521,1,3,1,1
3973,encyclopaedia,Cock Sparrer,Q600311,Glasgow,London,0.4447,0.2316,-0.2132,P740,109,0.011178,1,2,2,1
4047,encyclopaedia,Nigun,Q1989725,Christian,Judaism,0.15,0.0,-0.15,P140,55,0.0,1,1,2,1
4148,encyclopaedia,Scotiabank Saddledome,Q1140083,Google,Calgary,0.22,0.5038,0.2838,P127,423,0.001832,2,1,3,1
4173,encyclopaedia,Transaction Processing Facility,Q1426122,Google,IBM,0.4479,0.2146,-0.2333,P178,24,0.005661,1,2,2,1
4187,encyclopaedia,Magalir Mattum,Q6729637,Indonesian,Tamil,0.19,0.65,0.46,P364,93,0.0,3,1,3,1
4289,encyclopaedia,Drake Well,Q5305631,California,Pennsylvania,0.163,0.6,0.437,P131,51,0.002039,3,1,3,1
4297,encyclopaedia,U2,Q396,India,Ireland,0.2667,0.5,0.2333,P495,2900,0.000103,2,2,2,1
4305,encyclopaedia,Google Keep,Q125499774,Nintendo,Google,0.3213,0.3574,0.0361,P178,0,0.003199,2,2,2,1
4449,encyclopaedia,Sven Elvestad,Q3498167,Catalan,Norwegian,0.3796,0.4907,0.1111,P1412,4,0.052831,2,2,2,2
4579,encyclopaedia,Jack Sheldon,Q1677210,piano,trumpet,0.3893,0.1571,-0.2321,P1303,99,0.002654,1,2,2,1
4660,encyclopaedia,Toyopet Master,Q7830710,Renault,Toyota,0.1043,0.7043,0.6,P176,35,0.000736,3,1,3,1
4679,encyclopaedia,Hec Ramsey,Q2578173,HBO,NBC,0.8214,0.0286,-0.7929,P449,47,0.005896,1,3,1,1
4726,encyclopaedia,Dogg After Dark,Q5288343,CBS,MTV,0.3056,0.4667,0.1611,P449,3,0.0,2,2,2,1
4752,encyclopaedia,Gustave de Beaumont,Q326145,Latin,French,0.2056,0.5352,0.3296,P103,14,0.001615,3,1,3,1
4779,encyclopaedia,Kaniv Reservoir,Q1551994,Vietnam,Ukraine,0.3071,0.4119,0.1048,P17,2,0.001169,2,2,2,1
4983,encyclopaedia,Beacon Street Union,Q4875989,Chicago,Boston,0.5714,0.1,-0.4714,P740,12,0.02129,1,3,1,2
5201,encyclopaedia,Phoebe Atwood Taylor,Q2088428,Rome,Boston,0.35,0.405,0.055,P19,10,0.000264,2,2,2,1
5324,encyclopaedia,Circa Survive,Q603579,Naples,Philadelphia,0.6,0.1167,-0.4833,P740,223,0.009999,1,3,1,1
5338,encyclopaedia,Ryszard Engelking,Q737661,France,Poland,0.5938,0.0,-0.5938,P27,2,6.3e-05,1,3,1,1
5343,encyclopaedia,The Rockford Files,Q283660,HBO,NBC,0.2306,0.3667,0.1361,P449,622,0.0,2,1,2,1
5346,encyclopaedia,Snow Country,Q1376060,Canada,Japan,0.3603,0.1897,-0.1707,P495,164,0.015604,1,2,2,1
5372,encyclopaedia,Mount Weaver,Q6924529,Asia,Antarctica,0.3571,0.4214,0.0643,P30,0,0.018519,2,2,2,2
5464,encyclopaedia,Cayeux-sur-Mer,Q1024720,Iran,France,0.1375,0.6639,0.5264,P17,5,0.00019,3,1,3,1
5638,encyclopaedia,Bucharest,Q19660,Warsaw,Budapest,0.5167,0.0667,-0.45,P190,1682,0.000296,1,2,1,1
5643,encyclopaedia,sheikh,Q37560340,Buddhism,Islam,0.2278,0.5611,0.3333,P140,11,0.001077,3,1,3,1
5682,encyclopaedia,Penclawdd,Q3381195,Ohio,Swansea,0.3571,0.4286,0.0714,P131,14,0.0,2,2,2,1
5703,encyclopaedia,The Denver Dry Goods Company,Q7729741,Barcelona,Denver,0.3267,0.6167,0.29,P159,9,0.0,3,2,3,1
5733,encyclopaedia,Blake Mills,Q4924438,Dublin,California,0.1429,0.725,0.5821,P19,242,0.0,3,1,3,1
5746,encyclopaedia,John Harkes,Q936196,quarterback,midfielder,0.2958,0.3083,0.0125,P413,84,0.001031,2,2,2,1
5791,encyclopaedia,The Dick Van Dyke Show,Q530706,HBO,CBS,0.5526,0.1553,-0.3974,P449,704,0.0,1,3,1,1
5801,encyclopaedia,Alex Sipiagin,Q354016,trance,jazz,0.2531,0.3156,0.0625,P136,10,0.000937,2,1,2,1
5896,encyclopaedia,Uromi,Q3510262,Canada,Nigeria,0.4669,0.0873,-0.3796,P17,25,0.008609,1,2,1,1
5955,encyclopaedia,John Glynn,Q6235549,Hindi,English,0.1283,0.487,0.3587,P1412,4,0.008623,2,1,3,1
5999,encyclopaedia,Google Code Search,Q664672,Sony,Google,0.0606,0.6591,0.5985,P127,10,0.0,3,1,3,1
6347,encyclopaedia,Yuvraj Hans,Q8062173,astronaut,actor,0.6094,0.0938,-0.5156,P106,51,0.000144,1,3,1,1
6354,encyclopaedia,Ice Road Truckers,Q702432,CBS,History,0.0625,0.6328,0.5703,P449,559,0.017032,3,1,3,2
6364,encyclopaedia,Toyota Toyoace,Q7830891,Jeep,Toyota,0.1135,0.5865,0.4731,P176,54,9.9e-05,3,1,3,1
6398,encyclopaedia,Amreli district,Q257946,Wyoming,Gujarat,0.2667,0.41,0.1433,P131,28,9.4e-05,2,2,2,1
6465,encyclopaedia,Joseph Henry Blackburne,Q352459,Athens,London,0.8333,0.0,-0.8333,P20,24,0.000925,1,3,1,1
6481,encyclopaedia,Microsoft Schedule Plus,Q1892515,Apple,Microsoft,0.0931,0.7224,0.6293,P178,0,0.005856,3,1,3,1
6484,encyclopaedia,Reinbolt Hills,Q7310266,Europe,Antarctica,0.3208,0.4375,0.1167,P30,0,0.014754,2,2,2,1
6527,encyclopaedia,David Friesen,Q1174470,disco,jazz,0.175,0.7208,0.5458,P136,86,0.0,3,1,3,1
6531,encyclopaedia,Gregory XII,Q227694,bishop,pope,0.575,0.3304,-0.2446,P39,79,0.049806,2,3,2,2
6646,encyclopaedia,Clement II,Q58573,mayor,pope,0.3333,0.3375,0.0042,P39,37,0.000309,2,2,2,1
6682,encyclopaedia,Mohammad Najibullah,Q207728,Athens,Kabul,0.1457,0.5739,0.4283,P20,677,0.0,3,1,3,1
6821,encyclopaedia,"Greg Lloyd, Sr.",Q5605922,pitcher,linebacker,0.8,0.0,-0.8,P413,73,0.0,1,3,1,1
6874,encyclopaedia,Heikki Siren,Q3129431,English,Finnish,0.5,0.0454,-0.4546,P1412,1,0.00183,1,2,1,1
7054,encyclopaedia,Edmund Neupert,Q2981182,trumpet,piano,0.2524,0.5595,0.3071,P1303,2,0.021389,3,1,3,2
7139,encyclopaedia,Sayyid Qutb,Q211379,Christianity,Islam,0.1607,0.4857,0.325,P140,508,0.000168,2,1,3,1
7250,encyclopaedia,The Mothers-in-Law,Q938687,HBO,NBC,0.4205,0.1773,-0.2432,P449,66,0.0,1,2,2,1
7332,encyclopaedia,Vanessa Beecroft,Q152292,Romanian,Italian,0.1625,0.5094,0.3469,P1412,48,0.000623,3,1,3,1
7462,encyclopaedia,Jean de La Fontaine,Q49496,Russian,French,0.072,0.6305,0.5585,P103,158,0.000428,3,1,3,1
7508,encyclopaedia,Danco Coast,Q3010676,Europe,Antarctica,0.1479,0.7229,0.575,P30,3,0.00881,3,1,3,1
7585,encyclopaedia,East River Greenway,Q5036759,Leeds,Manhattan,0.0278,0.425,0.3972,P131,26,0.0,2,1,3,1
7669,encyclopaedia,Svenska Hollywoodfruar,Q4353133,Japan,Sweden,0.2261,0.3522,0.1261,P495,18,0.004852,2,1,2,1
7998,encyclopaedia,Le Vieux Cordelier,Q2401710,Australia,France,0.2917,0.2778,-0.0139,P495,10,0.005094,2,2,2,1
8118,encyclopaedia,Guto Pryce,Q5621838,violin,guitar,0.3545,0.3227,-0.0318,P1303,21,0.015003,2,2,2,1
8124,encyclopaedia,Castleisland Desmonds GAA,Q5050527,Australia,Ireland,0.1664,0.4426,0.2762,P17,2,0.005419,2,1,3,1
8181,encyclopaedia,Sam Hill Memorial Bridge,Q7407606,Florence,Oregon,0.4833,0.0417,-0.4417,P131,4,0.002373,1,2,1,1
8282,encyclopaedia,Jim Druckenmiller,Q6194725,midfielder,quarterback,0.1385,0.5923,0.4538,P413,61,0.001844,3,1,3,1
8285,encyclopaedia,David Beckham,Q10520,French,English,0.0973,0.6068,0.5095,P103,10057,0.010131,3,1,3,1
8328,encyclopaedia,Bighorn River,Q859686,Ohio,Montana,0.1679,0.6036,0.4357,P131,27,0.0,3,1,3,1
8416,encyclopaedia,Thomas Greiss,Q72467,defender,goaltender,0.1818,0.65,0.4682,P413,22,0.005231,3,1,3,1
8559,encyclopaedia,The Nylons,Q7754543,Turkey,Canada,0.0333,0.4742,0.4409,P495,50,0.004263,2,1,3,1
8639,encyclopaedia,Krauss-Maffei,Q819150,Sydney,Munich,0.3571,0.3929,0.0357,P740,63,4.2e-05,2,2,2,1
8650,encyclopaedia,KC-767,Q889578,IBM,Boeing,0.14,0.5529,0.4129,P178,180,0.001703,3,1,3,1
8841,encyclopaedia,Lemland,Q176186,French,Swedish,0.68,0.03,-0.65,P37,13,0.0,1,3,1,1
8884,encyclopaedia,64th Venice International Film Festival,Q1667155,Istanbul,Venice,0.2206,0.5926,0.3721,P276,14,2.2e-05,3,1,3,1
8905,encyclopaedia,Luigi Dadaglio,Q1862062,bishop,cardinal,0.55,0.0184,-0.5316,P39,2,0.001902,1,3,1,1
8968,encyclopaedia,Florent Sinama Pongolle,Q342690,hockey,soccer,0.1833,0.5483,0.365,P641,206,0.001185,3,1,3,1
8984,encyclopaedia,Yamalo-Nenets Autonomous Okrug,Q6407,Finnish,Russian,0.2778,0.3917,0.1139,P37,322,0.000467,2,2,2,1
9058,encyclopaedia,Guy Barker,Q1557440,violin,trumpet,0.25,0.45,0.2,P1303,14,0.001966,2,1,2,1
9092,encyclopaedia,Toyota Land Cruiser Prado,Q2594060,Boeing,Toyota,0.1529,0.6196,0.4667,P176,1892,0.000338,3,1,3,1
9105,encyclopaedia,Edina High School,Q5338105,Pennsylvania,Minnesota,0.2556,0.6111,0.3556,P131,30,0.000729,3,1,3,1
9226,encyclopaedia,Armand Trousseau,Q677885,London,Paris,0.1554,0.525,0.3696,P937,13,0.001935,3,1,3,1
9263,encyclopaedia,Nokia 808 PureView,Q1341483,Toyota,Nokia,0.1677,0.4919,0.3242,P176,131,0.000827,2,1,3,1
9302,encyclopaedia,Erwin Stresemann,Q62357,Chennai,Dresden,0.4194,0.2639,-0.1556,P19,6,0.0,2,2,2,1
9375,encyclopaedia,Ludovic Sylvestre,Q471193,goaltender,midfielder,0.2944,0.2083,-0.0861,P413,12,5.6e-05,1,2,2,1
9378,encyclopaedia,Czech Republic,Q213,Tripoli,Prague,0.2143,0.4357,0.2214,P36,7519,0.0,2,1,2,1
9384,encyclopaedia,Kasabian,Q272517,Seattle,Leicester,0.6353,0.25,-0.3853,P740,565,0.000435,2,3,1,1
9438,encyclopaedia,Renault R26,Q172755,Cadillac,Renault,0.2177,0.3952,0.1774,P176,65,0.0,2,1,2,1
9593,encyclopaedia,MBT LAW,Q3112988,Bulgaria,Sweden,0.59,0.29,-0.3,P495,424,0.005413,2,3,1,1
9737,encyclopaedia,PLoS ONE,Q564954,French,English,0.0,0.5696,0.5696,P364,131,0.000507,3,1,3,1
9802,encyclopaedia,Muawiyah I,Q181154,Christianity,Islam,0.1833,0.3238,0.1405,P140,799,0.000142,2,1,2,1
9811,encyclopaedia,Adam Elsheimer,Q310285,London,Rome,0.3219,0.3781,0.0562,P937,22,0.003736,2,2,2,1
9847,encyclopaedia,Gaetano Donizetti,Q101698,Boston,Vienna,0.3857,0.0357,-0.35,P937,184,6.6e-05,1,2,1,1
9886,encyclopaedia,Mawson Glacier,Q3108299,Asia,Antarctica,0.1419,0.5113,0.3694,P30,1,0.009202,3,1,3,1
9889,encyclopaedia,Dennis Wilson,Q453611,Spanish,English,0.1167,0.431,0.3143,P1412,1662,0.010731,2,1,3,1
9953,encyclopaedia,Headbangers Ball,Q279329,NBC,MTV,0.4278,0.3611,-0.0667,P449,182,0.0,2,2,2,1
9972,encyclopaedia,Des Lynam,Q5263489,NPR,BBC,0.41,0.33,-0.08,P108,221,0.0,2,2,2,1
10137,encyclopaedia,David Weigel,Q5240915,actor,journalist,0.2179,0.475,0.2571,P106,62,0.0,2,1,3,1
10188,encyclopaedia,Arthur Balfour,Q19008,Paris,London,0.6571,0.0286,-0.6286,P937,626,0.00735,1,3,1,1
10535,encyclopaedia,Nissan GT-R LM Nismo,Q18980952,Suzuki,Nissan,0.1086,0.5897,0.481,P176,134,0.000146,3,1,3,1
10548,encyclopaedia,Honus Wagner,Q1316903,football,baseball,0.1452,0.5306,0.3855,P641,614,0.006023,3,1,3,1
10643,encyclopaedia,Band-e Kaisar,Q806225,Poland,Iran,0.2017,0.4052,0.2034,P17,40,0.002553,2,1,2,1
10759,encyclopaedia,iOS 6,Q307677,Google,Apple,0.1,0.6895,0.5895,P178,300,0.005578,3,1,3,1
10791,encyclopaedia,Stephen Hales,Q312017,anthropology,physiology,0.02,0.4,0.38,P101,21,0.0,2,1,3,1
10975,encyclopaedia,Christiaan Snouck Hurgronje,Q731829,Buddhism,Islam,0.2154,0.5538,0.3385,P140,49,0.001123,3,1,3,1
10999,encyclopaedia,Toulouges,Q1350694,Italy,France,0.2629,0.4823,0.2194,P17,7,0.003592,2,2,2,1
11045,encyclopaedia,Kingdom of Bulgaria,Q147909,Hebrew,Bulgarian,0.25,0.565,0.315,P37,434,0.0,3,1,3,1
11163,encyclopaedia,Dorothy Donegan,Q430888,sitcom,jazz,0.1023,0.5455,0.4432,P136,15,0.0,3,1,3,1
11169,encyclopaedia,Dick Wellstood,Q1209838,fantasy,jazz,0.3095,0.3881,0.0786,P136,5,0.002151,2,2,2,1
11289,encyclopaedia,Party for Freedom,Q332739,Singapore,Netherlands,0.0541,0.6284,0.5743,P17,1600,0.000202,3,1,3,1
11379,encyclopaedia,Save Tonight,Q1645734,Spain,Sweden,0.265,0.46,0.195,P495,139,0.000839,2,2,2,1
11455,encyclopaedia,Alexander William Williamson,Q374493,physics,chemistry,0.258,0.404,0.146,P101,12,0.028398,2,1,2,2
11530,encyclopaedia,Army Public School Peshawar,Q18670313,Italian,English,0.1375,0.48,0.3425,P37,3,0.011422,2,1,3,1
11565,encyclopaedia,Alexandre Auguste Ledru-Rollin,Q1382222,English,French,0.3404,0.3442,0.0038,P103,40,0.005975,2,2,2,1
11633,encyclopaedia,Jean-Hilaire Aubame,Q256998,Chinese,French,0.3256,0.2793,-0.0463,P103,6,0.00839,2,2,2,1
11829,encyclopaedia,Venta,Q37322630,Antarctica,Europe,0.4452,0.3419,-0.1032,P30,0,0.006032,2,2,2,1
11866,encyclopaedia,Mark Kinsella,Q703653,linebacker,midfielder,0.6409,0.15,-0.4909,P413,102,6e-05,1,3,1,1
11885,encyclopaedia,Jean-Paul Akayesu,Q3168330,Thailand,Rwanda,0.1826,0.5043,0.3217,P27,41,0.0,2,1,3,1
11915,encyclopaedia,Francis Stuart,Q5482528,journalist,novelist,0.6727,0.0045,-0.6682,P106,35,0.003102,1,3,1,1
11934,encyclopaedia,Gene Martynec,Q5531339,Baltimore,Germany,1.0,0.0,-1.0,P19,9,0.000912,1,3,1,1
11976,encyclopaedia,Gluecifer,Q1248223,Leeds,Oslo,0.35,0.3929,0.0429,P740,25,0.001813,2,2,2,1
12148,encyclopaedia,IBM 407,Q1653069,Intel,IBM,0.1838,0.5853,0.4015,P176,13,0.001705,3,1,3,1
12275,encyclopaedia,Ahmed Ouyahia,Q57613,India,Algeria,0.3231,0.2942,-0.0288,P27,25,0.000414,2,2,2,1
12412,encyclopaedia,Jacques Mauclair,Q428314,Russian,French,0.4917,0.25,-0.2417,P103,7,0.000486,2,2,2,1
12452,encyclopaedia,Global Humanitarian Forum,Q16840240,London,Geneva,0.5687,0.2594,-0.3094,P159,1,0.009396,2,3,1,1
12458,encyclopaedia,Leg Work,Q4004191,NBC,CBS,0.7071,0.0071,-0.7,P449,16,0.000355,1,3,1,1
12527,encyclopaedia,Derek Lamb,Q1200053,physiology,animation,0.7438,0.0125,-0.7313,P101,5,0.004078,1,3,1,1
12592,encyclopaedia,Adrien Duport,Q377006,Russian,French,0.2275,0.5,0.2725,P103,11,0.000429,2,1,3,1
12654,encyclopaedia,Brazil national football team,Q83459,NATO,FIFA,0.2192,0.4346,0.2154,P463,3124,0.0,2,1,2,1
12687,encyclopaedia,Doychin Vasilev,Q5303717,India,Bulgaria,0.6714,0.0,-0.6714,P27,1,0.002881,1,3,1,1
12742,encyclopaedia,Windows 95,Q83370,Apple,Microsoft,0.37,0.465,0.095,P178,831,0.016064,2,2,2,1
12789,encyclopaedia,Carolyn Franklin,Q5045362,trumpet,piano,0.63,0.36,-0.27,P1303,172,0.023583,2,3,1,2
12809,encyclopaedia,Zenon Plech,Q8069203,Greece,Poland,0.7182,0.0,-0.7182,P27,6,0.000168,1,3,1,1
12892,encyclopaedia,Thaamirabharani,Q7708805,Swedish,Tamil,0.1309,0.5191,0.3882,P364,261,0.0,3,1,3,1
13013,encyclopaedia,Tor Endresen,Q1383923,Nigeria,Norway,0.1667,0.625,0.4583,P27,3,0.0,3,1,3,1
13198,encyclopaedia,Verbotene Liebe,Q153561,Japan,Germany,0.187,0.3891,0.2022,P495,39,0.002765,2,1,2,1
13320,encyclopaedia,Charles Kaiser,Q5079668,philosopher,journalist,0.8,0.0,-0.8,P106,7,0.0,1,3,1,1
13344,encyclopaedia,Somali Region,Q202800,Indiana,Ethiopia,0.1967,0.5367,0.34,P131,232,0.0,3,1,3,1
13359,encyclopaedia,Frankie Knuckles,Q205322,Oslo,Chicago,0.1765,0.5912,0.4147,P20,266,0.0,3,1,3,1
13693,encyclopaedia,Gerald Kyd,Q5549308,poet,actor,0.75,0.0125,-0.7375,P106,65,0.000397,1,3,1,1
13694,encyclopaedia,Sesamstraat,Q2410485,Thai,Dutch,0.0971,0.7176,0.6206,P364,24,0.000103,3,1,3,1
13702,encyclopaedia,Shimla,Q83786,Antarctica,Asia,0.3856,0.4267,0.0411,P30,588,0.013285,2,2,2,1
13840,encyclopaedia,Google Pay Send,Q2334242,Sega,Google,0.2615,0.5,0.2385,P178,24,0.000542,2,2,3,1
14028,encyclopaedia,Dodge Charger,Q669856,BMW,Dodge,0.2075,0.5125,0.305,P176,1229,0.000834,3,1,3,1
14031,encyclopaedia,Scott Paper Company,Q953319,Vancouver,Philadelphia,0.38,0.125,-0.255,P740,78,0.004696,1,2,2,1
14079,encyclopaedia,Wynton Marsalis,Q273076,piano,trumpet,0.2437,0.4375,0.1938,P1303,824,0.007488,2,1,2,1
14119,encyclopaedia,Giacomo Antonelli,Q712085,bishop,cardinal,0.425,0.1028,-0.3222,P39,14,0.007758,1,2,1,1
14130,encyclopaedia,Yule Bay,Q8060903,Europe,Antarctica,0.3542,0.2375,-0.1167,P30,0,0.002779,1,2,2,1
14143,encyclopaedia,Corriere dei Piccoli,Q1446208,Philippines,Italy,0.1579,0.4,0.2421,P495,4,0.000207,2,1,3,1
14226,encyclopaedia,Genrikh Sapgir,Q2166641,Australia,Russia,0.236,0.198,-0.038,P27,2,0.000653,1,1,2,1
14264,encyclopaedia,Virginia Quarterly Review,Q7934467,French,English,0.1183,0.4717,0.3533,P364,10,0.010352,2,1,3,1
14282,encyclopaedia,Adriaan Roland Holst,Q2272398,French,Dutch,0.16,0.605,0.445,P103,3,0.009172,3,1,3,1
14333,encyclopaedia,Italian Social Movement,Q1126102,Montreal,Rome,0.5286,0.0786,-0.45,P159,462,0.0,1,2,1,1
14345,encyclopaedia,Avord,Q688046,Denmark,France,0.0741,0.7389,0.6648,P17,2,0.000756,3,1,3,1
